   idx	detector_op	human_op	sentence
29	OVR		provided, however, the preceding shall not prohibit BWXTI from making such announcement, statement or other disclosure as may be required by SEC or stock exchange rules.
30	AFF		The Company shall use the proceeds of this Note for general working capital.
31	OVR		The invalidity or unenforceability of any particular provision of this Agreement shall not affect or limit the validity or enforceability of the remaining provisions of this Agreement.
32	EXC		Each Party confirms that it is not relying on any representations or warranties of the other Party except as specifically set forth herein.
33	EXC		This Agreement may not be amended, altered or modified except by a written agreement between the parties hereto.
34	AFF		This Agreement shall be interpreted and enforced in accordance with the laws of Delaware.
35	EXC		This Agreement may not be amended, modified, repealed, waived, extended or discharged except by an agreement in writing executed by all parties hereto.
36	NEG		This arbitration agreement does not include claims that, by law, may not be subject to mandatory arbitration.
37	OVR		Nothing contained herein shall be deemed to limit in any way any right to serve process in any other manner permitted by law.
38	NEG		it being understood that for purposes of this Section 5.13, such factual information and data shall not include projections and pro forma financial information or information of a general economic or general industry nature.
39	OVR		and without limitation of the foregoing, on and after the Closing Date, Seller shall promptly forward any mail, communications or other material relating to the Liabilities or the Assets to such employees of Purchaser at such addresses as may from time to time be specified by Purchaser in writing.
40	OVR		Such remedies, however, shall be cumulative and not exclusive, and shall be in addition to any other remedy which any party hereto may have.
41	AFF		If the Company has no subsidiaries, all other references to the Subsidiaries or any of them in the Transaction Documents shall be disregarded.
42	EXC		Unless earlier terminated as provided herein, the Executive’s employment under this Agreement shall be for the period commencing upon the Effective Date of this Agreement and ending on the third anniversary of the Effective Date of this Agreement.
43	NEG		The United Nations Convention on the International Sale of Goods shall not apply to this Agreement.
44	EXC		Parent has no Subsidiaries other than the Borrower and except as set forth on Schedule 7.14 or as disclosed in writing to the Administrative Agent (which shall promptly furnish a copy of such disclosure to the Lenders), which shall be a supplement to Schedule 7.14 .
45	EXC		Except as otherwise provided herein, provided that the Participant has remained continuously employed through the applicable Vesting Date, the Units will vest on December 31, 2018 (the “Vesting Date”).
46	EXC		The arbitration proceedings and the decision of the arbitrator shall not be made public wit hout the mutual consent of the Parties and each Party shall maintain the confidentiality of such proceedings and decision unless each Party otherwise agrees in writing;
47	NEG		provided , that this Section does not prohibit statements which Executive is required to make under oath or which are otherwise required by law, provided , that such statements are truthful and made in a professional manner;
48	EXC		Sell, transfer, or lease any Collateral, except for the sale or lease of inventory in the ordinary course of business.
49	NEG		The foregoing indemnification shall not apply to any liabilities, costs or expenses resulting directly from the gross negligence or actual willful misconduct, as determined by a final judgment of a court of competent jurisdiction.
50	NEG		Purchaser is not a “governmental plan” within the meaning of Section 3(32) of ERISA and the funds used by Purchaser to acquire the Property are not subject to any state statutes regulating investments of and fiduciary obligations with respect to governmental plans.
51	EXC		The masculine gender, when appearing in the Plan, shall include the feminine gender (and vice versa), and the singular shall include the plural, unless the Plan clearly states to the contrary.
52	NEG		This Agreement shall not be assignable by Advisor.
53	EXC		This Lease constitutes the entire agreement of the parties with respect to the subject matter hereof, and may not be changed or modified except by an agreement in writing signed by the parties.
54	NEG		The foregoing agreements shall not apply to any information that is or becomes publicly available through no fault of such Purchaser, or that such Purchaser is legally required to disclose;
55	OVR		Nothing in this paragraph shall prohibit EMPLOYEE from providing, in good faith, factual information, not subject to any claim of attorney-client privilege or attorney work product, concerning EMPLOYER required by law or legal or regulatory proceeding.
56	OVR		The Interest is in addition to the OID, and that OID remains payable regardless of time and manner of payment by the Issuer.
57	OVR		provided, however, that such termination will not affect the right of any party to sue for any breach by any other party (or parties).
58	AFF		In addition to being entitled to exercise all rights provided herein or granted by law, including recovery of damages, the Investor and the Company will be entitled to specific performance under the Transaction Documents.
59	OVR		This Warrant and all actions arising out of or in connection with this Agreement shall be governed by and construed in accordance with the laws of the State of California, without regard to the conflicts of law provisions of the State of California or of any other state.
60	AFF		The Base Salary shall be paid in substantially equal installments in accordance with the Employer’s compensation policies and procedures on the payroll dates established by the Employer for its senior officers.
61	EXC		Except as expressly provided in this Section 5.1 , Purchaser shall have no other right to adjourn the Closing.
62	EXC		To the best of Borrower’s knowledge, no claim has been made that any part of the Intellectual Property violates the rights of any third party, except as would not reasonably be expected to have a Material Adverse Effect.
63	EXC		Except as set forth in Schedule 3.1(g) , no Person has any right of first refusal, preemptive right, right of participation, or any similar right to participate in the transactions contemplated by the Transaction Documents that have not been effectively waived as of the Closing Date.
64	NEG		Notwithstanding the foregoing, the Retained Liabilities of Seller shall not be subject to the Survival Period.
65	AFF		Section 9.8.1 of the Lease is hereby amended to replace "four (4) Lease Years" with "five (5) Lease Years".
66	EXC		No provision of this Agreement may be modified, waived or discharged unless such waiver, modification or discharge is agreed to in writing and signed by the Executive and such officer as may be specifically designated by the Board.
67	AFF		This Note shall be binding upon the Company and its successors and shall inure to the benefit of the Holder and its successors and permitted assigns.
68	EXC		Except as expressly amended hereby, all of the terms and conditions of the Agreement are hereby ratified and confirmed, and shall remain in full force and effect.
69	AFF		The failure by either party to enforce any rights under this Agreement shall not be construed as a waiver of any rights of such party.
70	AFF		A Participant’s rights and interests under the Plan may not be assigned or transferred by the Participant.
71	NEG		provided that this Section 5.06 will not apply to laws related to Taxes, which are the subject of Section 5.03.
72	OVR		This indemnification shall not be construed to deny or reduce any other rights or obligations of indemnity that any of the Landlord Parties may have under this Lease or the common law.
73	AFF		The Borrower agrees to pay on demand all reasonable and documented out-of-pocket expenses of the Administrative Agent (including the reasonable and documented fees and out-of-pocket expenses of one counsel to the Administrative Agent and the Lender Parties;
74	NEG		provided , however , the foregoing provisions shall not be effective regarding the disposition of Collateral after an Event of Default.
75	OVR		provided , however , this Release shall not affect or impair any of the rights expressly set forth in the Transaction Documents.
76	NEG		provided that the foregoing shall not prohibit any merger, consolidation, liquidation or dissolution permitted under Section 6.03.
77	NEG		The Company is not subject to any judgment, order or decree of any court or other Governmental or Regulatory Authority.
78	NEG		provided , the foregoing restriction shall not apply to (a) any transaction between or among the Credit Parties and (b) normal and reasonable compensation and reimbursement of expenses of officers and directors in the ordinary course of business.
79	NEG		Any rule of construction to the effect that ambiguities are to be resolved against the drafting party will not be applied in the construction or interpretation of this Agreement.
80	EXC		The Base Salary will be reviewed periodically by the Chief Executive Officer and may be increased (but not decreased, except for across-the-board reductions generally applicable to the Company’s senior executives) from time to time in the Chief Executive Officer’s sole discretion.
81	EXC		In no event shall the Base Salary be less than the Base Salary amount for the immediately preceding twelve (12) month period other than as permitted in Section 6.1(c) hereunder.
82	EXC		This Agreement constitutes the valid and legally binding obligation of the Buyer, enforceable against the Buyer in accordance with its terms except as limited by the Bankruptcy and Equity Exception.
83	OVR		Nothing contained herein shall be construed to limit the time the Company’s ability to amend, suspend, or terminate any fringe benefit program at any time without providing the Executive notice, and the right to do so expressly reserved.
84	NEG		The restrictions on use and disclosure of information under this Section shall not apply to any information which the Recipient Party can prove: (i) was already known to it prior to its receipt thereof from the disclosing party;
85	AFF		During the Interim Period, Seller and Oncor shall take such actions as the Purchaser may reasonably request to prepare for the commencement of the dissolution of Seller following the Closing;
86	OVR		All questions concerning the construction, validity, enforcement and interpretation of this Debenture shall be governed by and construed and enforced in accordance with the internal laws of the State of New York, without regard to the principles of conflict of laws thereof.
87	NEG		Employee further acknowledges that Employee has been advised by this writing, as required by the Older Workers’ Benefit Protection Act, that: (i) Employee’s waiver and release does not apply to any rights or claims that may arise after the Effective Date (defined below);
88	EXC		Except as otherwise expressly provided herein, all payments by any Borrower hereunder shall be made to the Administrative Agent, for the account of the respective Lenders to which such payment is owed, at the Administrative Agent’s Office and in immediately available funds not later than 1:00 p.m.
89	OVR		Nothing herein shall affect any written indemnification agreement between you and the Company or any of its affiliates in effect on the date hereof.
90	AFF		Payments on Account of Taxes .
91	EXC		No waiver of any party to this Agreement will be effective unless it is in a writing signed by a duly authorized officer of the waiving party that makes express reference to the provision or provisions subject to such waiver.
92	EXC		Except as set forth on Schedule 8, SPL does not have any subsidiaries or agreements of any nature to acquire any subsidiary or to acquire or lease any other business operations.
93	OVR		Notwithstanding anything to the contrary herein, however, the Plan Administrator has the discretion to make payments to an alternate payee in accordance with the terms of a domestic relations order (as defined in Code Section 414(p)(1)(B)).
94	EXC		Except as set forth on Schedule 3.1(g) , the Company does not have any stock appreciation rights or “phantom stock” plans or agreements or any similar plan or agreement.
95	AFF		Purchasers may subscribe for additional Units from time to time until the maximum offering amount is sold.
96	EXC		Except as herein otherwise expressly stipulated to the contrary, this Agreement shall be binding upon and inure to the benefit of the parties hereto, and their respective heirs, legal representatives, successors and permitted assigns.
97	AFF		The Company is a Delaware limited liability company, duly organized, validly existing and in good standing under the laws of the State of Delaware.
98	AFF		The annual review of Executive’s salary by the Board will consider, among other things, Executive’s own performance, and the Company’s performance.
99	OVR		Nothing contained herein shall be deemed to limit in any way any right to serve process in any other manner permitted by law.
100	AFF		This Guaranty amends and restates the terms and conditions of the Existing Guaranty, and is not a novation of any of the agreements or obligations incurred pursuant to the terms of the Existing Guaranty.
101	AFF		At the Closing there shall be delivered to KYLK and Wilshire the certificates and other documents and instruments required to be delivered hereunder, including without limitation, under Sections 7 and 8 .
102	OVR		agrees that its liability under this Note shall not be affected by any renewal or extension in the time of payment hereof, by any indulgences, or by any release or change in any security for the payment of this Note;
103	OVR		Notwithstanding Sections 8.1 and 8.2 hereof, in no event shall the provisions of Sections 8.1 and 8.2 limit the damages recoverable by either party against the other party due to the other party’s obligation to indemnify such party in accordance with this Agreement.
104	OVR		The covenants and agreements of the parties set forth in SECTIONS 4, 5 and 6 are of a continuing nature and shall survive the expiration , termination or cancellation of this Agreement, irrespective of the reason therefor .
105	NEG		The obligation to pay any fee provided for herein or therein or to cause any such fee to be paid will be joint and several with any other party having such an obligation, shall be absolute and unconditional and shall not be subject to reduction by way of setoff or counterclaim.
106	OVR		Without limiting the foregoing, the second sentence of Section 1 shall survive if this Agreement is terminated pursuant to Section 17(b) or 17(c).
107	EXC		There are no representations, promises, warranties, covenants, undertakings or assurances (express or implied) other than those expressly set forth or provided for herein and in the other documents referred to herein.
108	EXC		At the end of the Term all rights and obligations under this Agreement shall cease, except (a) the rights and obligations that are expressly stated to survive termination pursuant to Section 2.4 and (b) rights and obligations that have accrued prior to such termination.
109	AFF		This Amendment may be executed in one or more counterparts, each of which shall be deemed an original but all of which together shall constitute one and the same instrument.
110	AFF		to assist with any audit, inspection, proceeding or other inquiry;
111	NEG		The rights and benefits under this Agreement are personal to Executive and such rights and benefits shall not be subject to assignment, alienation or transfer, except to the extent such rights and benefits are lawfully available to the estate or beneficiaries of Executive upon death.
112	NEG		Stock Appreciation Rights granted to non-employee directors that vest solely based on the passage of time shall not vest: (i) prior to the earlier of the first anniversary of the date of grant and the date of the first annual meeting held after the date of grant;
113	NEG		The Participant’s right to reimbursement or in-kind benefits shall not be subject to liquidation or exchange for another benefit.
114	AFF		Balka at the specific request of the Company or the Bank, subject to such reasonable documentation as may be requested by the Company or the Bank.
115	NEG		provided (i), (ii) and (iii) are determined to be in the best interests of the Company and provided that no indemnification shall be given with respect to acts or omissions that constitute fraud, gross negligence or willful misconduct.
116	OVR		Any such actions shall not in any way affect the ability of the Lenders, in their discretion, to exercise any rights available to them under this Agreement or under any other agreement, whether or not the Lenders are party, relating to the Borrower.
117	NEG		provided , that such person shall not be entitled to indemnification hereunder only to the extent such person’s conduct constituted fraud, bad faith or willful misconduct.
118	OVR		Nothing contained herein shall be deemed to limit in any way any right to serve process in any other manner permitted by applicable law.
119	OVR		To the extent that any provisions of this Agreement conflict with those of any other agreement between the Executive and the Company, the terms in this Agreement will prevail.
120	AFF		All remaining sections, covenants, restrictions, and language shall remain in full force and effect in accordance with the terms thereof.
121	OVR		Nothing herein shall affect the right to serve process in any manner permitted by law or shall limit the right of any Agent or any Lender to bring proceedings against any Borrower in the courts of any other jurisdiction.
122	AFF		Administrative Agent’s (on behalf of the Purchasers) right, title and interest in, to and under all such assets is herein called the “ Asset Portfolio ”.
123	OVR		This Joinder Agreement shall be governed by, and construed in accordance with, the internal laws of the State of New York, without regard to any conflict of laws provisions which would require the application of the law of any other jurisdiction.
124	NEG		provided, however, that a party shall not be entitled to any indemnification pursuant to this Section 4.10 if a court of competent jurisdiction has finally determined that such party is guilty of actual fraud, willful misconduct or gross negligence.
125	AFF		All questions concerning the construction, validity, enforcement and interpretation of the Transaction Documents shall be governed by and construed and enforced in accordance with the internal laws of the State of _ New York, without regard to the principles of conflicts of law thereof.
126	AFF		No Awards shall be granted under the Plan after the expiration of 10 years from the date on which the stockholders approve the Amended and Restated 2010 Stock Incentive Plan, but Awards previously granted may extend beyond that date.
127	EXC		Except as provided in Section 2(d)(iv)(B) below, the right to exercise the vested portion of the Option will continue until the earlier of the last day of the sixty (60) month period following the last date of Participant's active employment or the Expiration Date.
128	AFF		The Company shall pay, and hold each Buyer harmless against, any liability, loss or expense (including, without limitation, reasonable attorneys’ fees and out-of-pocket expenses) arising in connection with any claim relating to any such payment.
129	NEG		In the event the FAA does not apply for any reason, then the arbitration will proceed pursuant to the California Arbitration Act, California Code of Civil Procedure §§ 1280, et seq .
130	AFF		and (iv) may refuse to deliver the Shares to the Executive if he or she fails to comply with his or her obligations in connection with the Tax-Related Items as provided in this Section.
131	NEG		provided, however, that punitive or exemplary damages shall not be awarded.
132	AFF		Signature pages may be detached from multiple separate counterparts and attached to a single counterpart.
133	AFF		The Company shall obtain and carry in full force and effect the minimum insurance requirements set forth herein.
134	NEG		The limitation as to Seller’s liability in this Section 15.21 does not apply to Seller’s liability with respect to prorations and adjustments under Article XI .
135	OVR		This Agreement, for all purposes, shall be construed in accordance with the laws of Texas without regard to conflicts-of-law principles.
136	EXC		Other than the Loan Documents, no Loan Party has a material financial obligation (contingent or otherwise) under any indenture, mortgage, deed of trust, loan agreement or other agreement or instrument to which any Loan Party is a party other than, with respect to Borrower, the Management Agreement.
137	NEG		provided, however, that this Agreement shall not be assignable by the Executive without prior written consent of the Company.
138	OVR		Without limiting the generality of the foregoing, the making of a Loan or issuance of a Letter of Credit shall not be construed as a waiver of any Default, regardless of whether the Administrative Agent, any Lender or any Issuing Bank may have had notice or knowledge of such Default at the time.
139	AFF		Any requirements for the securing or posting of any bond with such remedy are waived by the Parties to this Agreement.
140	NEG		The foregoing shall not be violated by truthful statements made in response to legal process, required governmental testimony or filings, or administrative or arbitral proceedings (including, without limitation, depositions in connection with such proceedings).
141	AFF		Since the date of each such Schedule B, there has been no material adverse change in the funding status or financial condition of the Plan relating to such Schedule B.
142	EXC		This Agreement shall commence on the Effective Date, and, unless renewed under Section 2.4 or otherwise terminated under Section 6, shall terminate on the third anniversary of the Effective Date.
143	AFF		Seller is a Delaware corporation, duly organized, validly existing and in good standing under the Laws of the State of Delaware and is qualified to conduct business in North Dakota.
144	OVR		Nothing in this Amendment shall be deemed to preclude enforcement by the Agent of any judgment or order obtained in any forum or jurisdiction.
145	NEG		provided that such limitation shall not apply to any third-party claims.
146	NEG		provided, however, that this provision shall not apply to any portion of any Form 10-K or Form 10-Q that does not relate to the Investor, its purchases hereunder or any aspect of the Transaction Documents or the transactions contemplated hereby.
147	AFF		The acceptance of the Plan by each of the Restructuring Support Parties will not be solicited until such Parties have received the Disclosure Statement and related ballots in accordance with applicable law, and will be subject to sections 1125, 1126, and 1127 of the Bankruptcy Code.
148	OVR		Your covenants, agreements and obligations are in addition to and not in lieu or exclusive of any of your other obligations and duties to the Company, whether express or implied in fact or in law.
149	OVR		The failure of either party to enforce, or the delay by either party in enforcing, any of its rights under this Agreement shall not prejudice or affect its rights hereunder.
150	EXC		This Agreement may not be modified, altered or changed except upon express written consent of both parties in a document that specifically refers to this Agreement.
151	OVR		Any such provision which may prove invalid or unenforceable under any law shall not affect the validity or enforceability of any other provision of any agreement.
152	AFF		The Commission has not issued any stop order or other order suspending the effectiveness of any registration statement filed by the Company or any Subsidiary under the Exchange Act or the Securities Act.
153	EXC		Except as set forth on Section 3(g) of the Disclosure Schedule, the Financial Statements (including the notes thereto) have been prepared in accordance with GAAP and present fairly the financial condition of Logicmark as of such dates and the results of operations of Logicmark;
154	NEG		provided, however, that this indemnity shall not apply with respect to any breach by Employee of the terms of this Agreement or the Executive Officer Agreement.
155	OVR		The provisions of Section 10.03 shall survive and remain in full force and effect regardless of the consummation of the transactions contemplated hereby, the repayment of the Loans, the expiration or termination of the Commitments or the termination of this Agreement or any provision hereof.
156	AFF		All prior understandings and agreements relating to the subject matter of this Agreement are hereby expressly terminated.
157	NEG		Nothing in this Section 12(b) shall have application to any evidence or testimony required by any court, arbitrator or government agency.
158	EXC		A certificate of the Recipient as to the amount of such payment or liability under this Section 5.03 shall be delivered to the Borrowers and shall be conclusive absent manifest error.
159	AFF		All of the Company’s outstanding capital stock has been issued in accordance with the applicable provisions of the Securities Act and any other applicable securities laws.
